"taxon","isocode","glottocode","xd_ids","soc_ids","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mMeB","mMyB","mFeB","mFyB","mF","mMeZ","mMyZ","mFeZ","mFyZ","mM"
"KWAMERA_PORT_RESOLUTION",,"kwam1252","","",0,,,,,,1,"kaka","kaka","kaka","kaka","remu-","mama; rinhɨ","mama; rinhɨ","kaka; kusɨ-","kaka; kusɨ-","kanha; mama; rinhɨ"
"KWAMERA_YATUKWEY",,"kwam1252","","",0,,,,,,1,"kaka","kaka","kaka","kaka","remu-","mama; rinhɨ","mama; rinhɨ","kaka; kusɨ-","kaka; kusɨ-","kanha; mama; rinhɨ"
"SOUTHWEST_TANNA_ENFITANA",,"sout2869","xd863","Ih10",1,1,3,1,1,5,1,"mɨra","mɨra","mɨra","mɨra","rɨm",,,,,"nɨsɨn"
"SOUTHWEST_TANNA_IKITI",,"sout2869","xd863","Ih10",1,1,3,1,1,5,1,"mɨra","mɨra","mɨra","mɨra","rɨm",,,,,"nɨsɨn"
"SOUTHWEST_TANNA_IKIYAU",,"sout2869","xd863","Ih10",1,1,3,1,1,5,1,"mɨra","mɨra","mɨra","mɨra","rɨm",,,,,"nɨsɨn"
"SOUTHWEST_TANNA_IMREANG",,"sout2869","xd863","Ih10",1,1,3,1,1,5,1,"mɨra","mɨra","mɨra","mɨra","rɨm",,,,,"nɨsɨn"
"SOUTHWEST_TANNA_LAPWANGTOAI",,"sout2869","xd863","Ih10",1,1,3,1,1,5,1,"mɨra","mɨra","mɨra","mɨra","rɨm",,,,,"nɨsɨn"
"LENAKEL_LENAUKAS",,"lena1238","","",0,,,,,,1,"mɨra-","mɨra-","rɨm-","rɨm-","rɨm-","in-","in-","uhu-","uhu-","in-"
"LENAKEL_LONASILIAN",,"lena1238","","",0,,,,,,1,"mɨra-","mɨra-","rɨm-","rɨm-","rɨm-","in-","in-","uhu-","uhu-","in-"
"NORTH_TANNA",,"nort2847","","",0,,,,,,1,"etəmaa","etəmaa",,,"tɨm",,,,,"itə"
"WHITESANDS_IARKEI",,"whit1269","","",0,,,,,,1,,,"u*","u*","tɨm",,,,,"itɨ"
"WHITESANDS_LONIEL",,"whit1269","","",0,,,,,,1,,,"u*","u*","tɨm",,,,,"itɨ"
"XARACUU",,"xara1244","","",0,,,,,,1,"mwɛ̃ɛ̃","mwɛ̃ɛ̃","duñɛ","duñɛ","panɛɛ-","duñɛ","duñɛ","dɔtəšʌ̃ʌ̃; panea; šʌ̃ʌ̃","dɔtəšʌ̃ʌ̃; panea; šʌ̃ʌ̃","mwiñe-"
"GRAND_COULI",,"tiri1258","","",0,,,,,,1,,,,,"audẽ",,,"panea; šc̃c̃ɛ̃","panea; šc̃c̃ɛ̃","aunẽ"
"PAICI",,"paic1239","","",0,,,,,,1,"aunîa; aunéaa","aunîa; aunéaa","caa","caa","caa","nyââ","nyââ","pankaa; köaa","pankaa; köaa","nyââ"
"TANGOA",,"tang1347","","",0,,,,,,1,,,,,"tama",,,,,"tina"
"ARAKI",,"arak1252","","",0,,,,,,1,"lala; rahura-; elua-; m̈ara-","lala; rahura-; elua-; m̈ara-","ta","ta","ta","puá","puá","tetei-","tetei-","puá"
"FORTSENAL",,"fort1240","","",0,,,,,,1,"taura-","taura-","tama-","tama-","evirimamara-; tama-",,,,,"notimamara-; tina-"
"LAMETIN",,"mere1242","","",0,,,,,,1,"meme; sabe","meme; sabe","bapne̤; yeluwaitamana; tama","bapne̤; yeluwaitamana; tama","tama̤; tama",,,,,"tama̤; tama"
"MALMARIV",,"tial1239","","",0,,,,,,1,"meme","meme","sabe","sabe","tama",,,,,"tama"
"NORTH_MALO",,"malo1243","","",0,,,,,,1,"taura; noku vorai","taura; noku vorai","tama","tama","tama","tina","tina","vuonatu","vuonatu","tina"
"SOUTH_MALO",,"malo1243","","",0,,,,,,1,"taura; noku vorai","taura; noku vorai","tama","tama","tama","tina","tina","vuonatu","vuonatu","tina"
"MAFEA",,"mafe1237","","",0,,,,,,1,"sapuri-; sope","sapuri-; sope","tama-","tama-","tama-","tina-","tina-","venatu-","venatu-","tina-"
"BUTMAS",,"butm1237","","",0,,,,,,1,"paliak","paliak","tatang","tatang","tatang",,,,,"mang"
"TUR",,"butm1237","","",0,,,,,,1,"paliak","paliak","tatang","tatang","tatang",,,,,"mang"
"EAST_AMBAE_LOLSIWOI",,"east2443","","",0,,,,,,1,"toga-","toga-","tama-","tama-","tama-","retahi-","retahi-","ede-","ede-","retahi-"
"EAST_AMBAE_LOLOMATUI",,"east2443","","",0,,,,,,1,"toga-","toga-","tama-","tama-","tama-","retahi-","retahi-","ede-","ede-","retahi-"
"EAST_AMBAE_WAILENGI",,"east2443","","",0,,,,,,1,"toga-","toga-","tama-","tama-","tama-","retahi-","retahi-","ede-","ede-","retahi-"
"RAGA",,"hano1246","","",0,,,,,,1,"mezang; tarabe; bena","mezang; tarabe; bena","zimang; tama; tata","zimang; tama; tata","zimang; tama; tata","dahing; ratahi; mʷua","dahing; ratahi; mʷua","wawa; vwavwa; fafʷa","wawa; vwavwa; fafʷa","dahing; ratahi; mʷua"
"MARINO",,"mari1426","","",0,,,,,,1,"taˈrambe; tata; mou; taraᵐbe; taraᵐbe; mamou; mamou; mamou; mou; aᵐbe","taˈrambe; tata; mou; taraᵐbe; taraᵐbe; mamou; mamou; mamou; mou; aᵐbe","tata; tata; tata; tata; tata; tata; tata; ˈtata; tita","tata; tata; tata; tata; tata; tata; tata; ˈtata; tita","tata; tata; ˈtata; tata; tata; tata; tata; ˈtata; tama-i; tita","ᵐbou; toa; ɸeβe; ᵐbotai; ᵐbotai; tai; ᵐbʷau; ˈᵐbʷau; ᵐbotai","ᵐbou; toa; ɸeβe; ᵐbotai; ᵐbotai; tai; ᵐbʷau; ˈᵐbʷau; ᵐbotai","ᵐbʷarai; toa; ɸeɸe kuru; raβe; raβe; toa; blaktoa; ˈraβe ˈkuru; toa","ᵐbʷarai; toa; ɸeɸe kuru; raβe; raβe; toa; blaktoa; ˈraβe ˈkuru; toa","ᵐbou; ᵑgʷau; ˈɸeβe; ᵐbotai; ᵐbotai; tai; ᵐbʷau; ˈᵐbʷau; rave-i; ᵐbotai"
"MOTA",,"mota1237","xd862","Ih1",1,8,7,15,9,1,1,"maraui","maraui","mama","mama","tamak; mama; tamai","veve","veve","vevegae","vevegae","veve"
"MERLAV",,"merl1237","","",0,,,,,,1,"moru","moru",,,"imama; mam",,,"ivev","ivev","ivev; vev"
"MERLAV_MERIG",,"merl1237","","",0,,,,,,1,"moru","moru",,,"imama; mam",,,"ivev","ivev","ivev; vev"
"HIW",,"hiww1237","","",0,,,,,,1,,,"mamakia","mamakia","mamakia","tatakia","tatakia",,,"tatakia"
"TOGA",,"loto1240","","",0,,,,,,1,"meruk","meruk","ma","ma","ma","reme","reme","reme","reme","reme"
"MOTLAV",,"motl1237","","",0,,,,,,1,"itat","itat","itmek; imam","itmek; imam","itmek; imam","ivēk; tita","ivēk; tita","titamas; ivep","titamas; ivep","ivēk; tita; nevep"
"MOSINA",,"vure1239","","",0,,,,,,1,"maröuk","maröuk","tëmëk","tëmëk","tëmëk","rëtnëk","rëtnëk","rëtnëk","rëtnëk","rëtnëk"
"MOSINA_VETUMBOSO",,"vure1239","","",0,,,,,,1,"maröuk","maröuk","tëmëk","tëmëk","tëmëk","rëtnëk","rëtnëk","rëtnëk","rëtnëk","rëtnëk"
"VERAA",,"vera1241","","",0,,,,,,1,"maru-","maru-","ama-","ama-","ama-","vēvē-","vēvē-","vēvē-","vēvē-","vēvē-"
"VATRATA",,"vera1241","","",0,,,,,,1,"maru-","maru-","ama-","ama-","ama-","vēvē-","vēvē-","vēvē-","vēvē-","vēvē-"
"NAMAKURA_MATASO",,"nama1268","","",0,,,,,,1,"lolo; tavalin; lolo","lolo; tavalin; lolo","taman; aba; poop","taman; aba; poop","taman; aba; poop; tama","anuh; bwilamw","anuh; bwilamw","miim; vingon; miim","miim; vingon; miim","anuh; bwilamw; anu; bilan"
"NAMAKURA_TONGARIKI",,"nama1268","","",0,,,,,,1,"lolo; tavalin; lolo","lolo; tavalin; lolo","taman; aba; poop","taman; aba; poop","taman; aba; poop; tama","anuh; bwilamw","anuh; bwilamw","miim; vingon; miim","miim; vingon; miim","anuh; bwilamw; anu; bilan"
"NAMAKURA_BONGABONGA",,"nama1268","","",0,,,,,,1,"lolo; tavalin; lolo","lolo; tavalin; lolo","taman; aba; poop","taman; aba; poop","taman; aba; poop; tama","anuh; bwilamw","anuh; bwilamw","miim; vingon; miim","miim; vingon; miim","anuh; bwilamw; anu; bilan"
"NAMAKURA_MAKURA",,"nama1268","","",0,,,,,,1,"lolo; tavalin; lolo","lolo; tavalin; lolo","taman; aba; poop","taman; aba; poop","taman; aba; poop; tama","anuh; bwilamw","anuh; bwilamw","miim; vingon; miim","miim; vingon; miim","anuh; bwilamw; anu; bilan"
"SOUTH_EFATE_ERAKOR",,"sout2856","","",0,,,,,,1,"awo kpur; awo","awo ses; awo","apap k͡pur; awo","apap sɛs; awo","apap; apap; gka; tat","iak kpur; iak","iak ses; iak","iak kpur; ta","iak ses; ta","jak; iak"
"SOUTH_EFATE_ERATAP",,"sout2856","","",0,,,,,,1,"awo kpur; awo","awo ses; awo","apap k͡pur; awo","apap sɛs; awo","apap; apap; gka; tat","iak kpur; iak","iak ses; iak","iak kpur; ta","iak ses; ta","jak; iak"
"SOUTH_EFATE_PANGO",,"sout2856","","",0,,,,,,1,"awo kpur; awo","awo ses; awo","apap k͡pur; awo","apap sɛs; awo","apap; apap; gka; tat","iak kpur; iak","iak ses; iak","iak kpur; ta","iak ses; ta","jak; iak"
"LELEPA",,"lele1267","","",0,,,,,,1,"lol; alona","lol; alona","maam; anamamna","maam; anamamna","mamei; anafa","teete","teete","mimiia; anasmamna","mimiia; anasmamna","tetei; pella"
"NORTH_EFATE_PWELE",,"nort2836","","",0,,,,,,1,"aloa","aloa",,,"mama","tete","tete","mimi","mimi","tete"
"NORTH_EFATE_SIVIRI",,"nort2836","","",0,,,,,,1,"aloa","aloa",,,"mama","tete","tete","mimi","mimi","tete"
"NORTH_EFATE_NGUNA",,"nort2836","","",0,,,,,,1,"aloa","aloa",,,"mama","tete","tete","mimi","mimi","tete"
"NORTH_EFATE_WORAVIU",,"nort2836","","",0,,,,,,1,"aloa","aloa",,,"mama","tete","tete","mimi","mimi","tete"
"NORTH_EFATE_SESAKE",,"nort2836","","",0,,,,,,1,"aloa","aloa",,,"mama","tete","tete","mimi","mimi","tete"
"BIEREBO_YEVALI",,"bier1244","","",0,,,,,,1,,,"karma-gu","karma-gu","karma-gu","kania-gu","kania-gu",,,"kania-gu"
"BIEREBO_TAVIO",,"bier1244","","",0,,,,,,1,,,"karma-gu","karma-gu","karma-gu","kania-gu","kania-gu",,,"kania-gu"
"BIEREBO_BURUPIKA",,"bier1244","","",0,,,,,,1,,,"karma-gu","karma-gu","karma-gu","kania-gu","kania-gu",,,"kania-gu"
"BIEREBO_BONKOVIA",,"bier1244","","",0,,,,,,1,,,"karma-gu","karma-gu","karma-gu","kania-gu","kania-gu",,,"kania-gu"
"LEWO_MAPREMO",,"lewo1242","","",0,,,,,,1,"merue-","merue-",,,"arima-",,,,,"ane-"
"LEWO_NUVI",,"lewo1242","","",0,,,,,,1,"merue-","merue-",,,"arima-",,,,,"ane-"
"LEWO_VISINA",,"lewo1242","","",0,,,,,,1,"merue-","merue-",,,"arima-",,,,,"ane-"
"LEWO_NIKAURA",,"lewo1242","","",0,,,,,,1,"merue-","merue-",,,"arima-",,,,,"ane-"
"LEWO_FILAKARA",,"lewo1242","","",0,,,,,,1,"merue-","merue-",,,"arima-",,,,,"ane-"
"LEWO_MATE",,"lewo1242","","",0,,,,,,1,"merue-","merue-",,,"arima-",,,,,"ane-"
"LEWO_NUL",,"lewo1242","","",0,,,,,,1,"merue-","merue-",,,"arima-",,,,,"ane-"
"PAAMA_LIRONESA",,"paam1238","","",0,,,,,,1,"avon; matuen","avon; matuen",,,"itet; tāta; tamen; ulmatu",,,,,"itau; māma; latin; nāna"
"PAAMA_FAULILI",,"paam1238","","",0,,,,,,1,"avon; matuen","avon; matuen",,,"itet; tāta; tamen; ulmatu",,,,,"itau; māma; latin; nāna"
"PAAMA_LAUL",,"paam1238","","",0,,,,,,1,"avon; matuen","avon; matuen",,,"itet; tāta; tamen; ulmatu",,,,,"itau; māma; latin; nāna"
"SOUTHEAST_AMBRYM_MAAT",,"sout2859","","",0,,,,,,1,"metuo","metuo","pap","pap","tame","nine","nine","tine","tine","nine"
"SOUTHEAST_AMBRYM_TOAK",,"sout2859","","",0,,,,,,1,"metuo","metuo","pap","pap","tame","nine","nine","tine","tine","nine"
"LONWOLWOL",,"lonw1238","","",0,,,,,,1,"mlsjɔ-","mlsjɔ-","tata","tata","tata; tima-","tae; rahɛ-","tae; rahɛ-","irnja-","irnja-","tae; rahɛ-"
"NORTH_AMBRYM_RANON",,"nort2839","xd866","Ih13",1,11,6,15,9,7,1,"mesong","mesong","teta","teta","teta","ina","ina","raheng","raheng","ina"
"NORTH_AMBRYM_FONAH",,"nort2839","xd866","Ih13",1,11,6,15,9,7,1,"mesong","mesong","teta","teta","teta","ina","ina","raheng","raheng","ina"
"DAKAKA_BAIAP",,"daka1243","","",0,,,,,,1,"syuk","syuk","taata","taata","taata","naana","naana","nó","nó","naana"
"DAKAKA_SESIVI",,"daka1243","","",0,,,,,,1,"syuk","syuk","taata","taata","taata","naana","naana","nó","nó","naana"
"PORT_VATO",,"port1286","","",0,,,,,,1,"biibilen; ne naana","biibilen; ne naana","taata","taata","taata","naana","naana","tinyok","tinyok","naana"
"SA",,"saaa1241","xd869","Ih3, SCCS101",1,7,8,15,9,5,1,"tsik","tsik","temak","temak","temak","selak; dasik","selak; dasik","itnik","itnik","dasik"
"SKE",,"seke1241","","",0,,,,,,1,"meza","meza","zmia","zmia","zmia","dahe","dahe","wwa","wwa","dahe"
"SEKE",,"seke1241","","",0,,,,,,1,"meza","meza","zmia","zmia","zmia","dahe","dahe","wwa","wwa","dahe"
"LETEMBOI",,"lete1241","","",0,,,,,,1,"ge'anangk","ge'anangk","gutamangk","gutamangk","gutamangk","gusunangk","gusunangk","gusunangk","gusunangk","gusunangk"
"LITZLITZ",,"litz1237","","",0,,,,,,1,"bimbi","bimbi",,,"tate",,,"vave","vave","nane"
"VINMAVIS",,"vinm1237","","",0,,,,,,1,"vimbi","vimbi","mamwe lamp; mamwilam","mamwe; mamwinga'","mamwe; mamwe","nangk; nang tokhtokh","nangk; nang nganga'","vavwe","vavwe","nangk; nang"
"LAREVAT",,"lare1249","","",0,,,,,,1,"bimbi","bimbi",,,"tate",,,"vave","vave","nane"
"MAE_ORAP",,"maee1241","","",0,,,,,,1,"dnɛ","dnɛ","tatɛ","tatɛ","tatɛ","dede","dede","vavɛ","vavɛ","dede"
"MAE",,"maee1241","","",0,,,,,,1,"dnɛ","dnɛ","tatɛ","tatɛ","tatɛ","dede","dede","vavɛ","vavɛ","dede"
"MARAGUS",,"mara1399","","",0,,,,,,1,"asen","asen","etmen lil","etmen vës","etmen; tete",,,"vave","vevnën","nunu"
"BIG_NAMBAS_LEVIAMP",,"bign1238","","",0,,,,,,1,"bünei; p'ënei","bünei; p'ënei","tatei; tatei","tatei; tatei","tatei; tatei","wunei; unei","wunei; unei","vavwe; vavei","vavwe; vavei","wunei; unei"
"BIG_NAMBAS_UNMET",,"bign1238","","",0,,,,,,1,"bünei; p'ënei","bünei; p'ënei","tatei; tatei","tatei; tatei","tatei; tatei","wunei; unei","wunei; unei","vavwe; vavei","vavwe; vavei","wunei; unei"
"SOUTH_WEST_BAY_BENOUR",,"sout2857","xd868","Ih2",1,7,8,15,9,1,1,"mituwa-; apap; papap","mituwa-; apap; papap","apap; papap","apap; papap","teme-; tatay","avweyvwey","avweyvwey","avweyvwey","avweyvwey","hine-; amoq"
"SOUTH_WEST_BAY_LEMBINWEN",,"sout2857","xd868","Ih2",1,7,8,15,9,1,1,"mituwa-; apap; papap","mituwa-; apap; papap","apap; papap","apap; papap","teme-; tatay","avweyvwey","avweyvwey","avweyvwey","avweyvwey","hine-; amoq"
"LINGARAK",,"ling1265","","",0,,,,,,1,"bibi tokhtokh","bibi lele","mama tokhtokh","mama lele","mama","nida tokhtokh","nida lele","nida tokhtokh","nida lele","nida"
"KATBOL_TIMBEMBE",,"katb1237","","",0,,,,,,1,"ndat tanai; bimbi; dat","ndat tanai; bimbi; dat","mom lan","mom lele","mom; mama; mom","gal lam; galu lam","gal lele; galu lele","galam; nggalele","galam; nggalele","galu; nggalu; galu"
"KATBOL",,"katb1237","","",0,,,,,,1,"ndat tanai; bimbi; dat","ndat tanai; bimbi; dat","mom lan","mom lele","mom; mama; mom","gal lam; galu lam","gal lele; galu lele","galam; nggalele","galam; nggalele","galu; nggalu; galu"
"UNUA",,"unua1237","","",0,,,,,,1,"metungk","metungk","tomongk","tomongk","tomongk; teme-; mita; tata","resyongk","resyongk","resyongk","resyongk","resyongk; mama; mira; rrese-"
"MASKELYNES",,"mask1242","","",0,,,,,,1,"amatua-","amatua-","tata","tata","atəma-; tata",,,"vavai","vavai","ana-"
"PORT_SANDWICH",,"port1285","","",0,,,,,,1,,,,,"ita; tata; raman",,,"vavue","vavue","ina; nana"
"MALUA_BAY_PETARMUR",,"malu1245","","",0,,,,,,1,"bini","bini","tate","tate","tate","pepe; wunei","pepe; wunei","vavwe","vavwe","pepe; wunei"
"MALUA_BAY",,"malu1245","","",0,,,,,,1,"bini","bini","tate","tate","tate","pepe; wunei","pepe; wunei","vavwe","vavwe","pepe; wunei"
"VAO",,"vaoo1237","","",0,,,,,,1,"soguk","soguk","te","te","te","mbembe","mbembe","mbembe","mbembe","mbembe"
"ATCHIN",,"urip1239","","",0,,,,,,1,"mituk","mituk","tata suk","tata suk","tata suk","tasu suk","tasu suk","tasu suk","tasu suk","tasu suk"
"URI",,"urip1239","","",0,,,,,,1,"mituk","mituk","tata suk","tata suk","tata suk","tasu suk","tasu suk","tasu suk","tasu suk","tasu suk"
"URIPIV",,"urip1239","","",0,,,,,,1,"mituk","mituk","tata suk","tata suk","tata suk","tasu suk","tasu suk","tasu suk","tasu suk","tasu suk"
"TAUTU",,"urip1239","","",0,,,,,,1,"mituk","mituk","tata suk","tata suk","tata suk","tasu suk","tasu suk","tasu suk","tasu suk","tasu suk"
"RANO",,"urip1239","","",0,,,,,,1,"mituk","mituk","tata suk","tata suk","tata suk","tasu suk","tasu suk","tasu suk","tasu suk","tasu suk"
"PINALUM",,"urip1239","","",0,,,,,,1,"mituk","mituk","tata suk","tata suk","tata suk","tasu suk","tasu suk","tasu suk","tasu suk","tasu suk"
"WALA",,"urip1239","","",0,,,,,,1,"mituk","mituk","tata suk","tata suk","tata suk","tasu suk","tasu suk","tasu suk","tasu suk","tasu suk"
"DEHU",,"dehu1237","xd873","Ih7",1,7,8,15,9,4,1,,,,,,"tete","tete","tete","tete","teifenie"
"NENGONE",,"neng1238","","",0,,,,,,1,"caca","caca","caca; cicango","caca; cicango","caca; cecen; cicango","hmaien","hmaien","cekin","cekin","hmaien; mimi"
"WUVULU",,"wuvu1239","xd845","Ig13",1,10,1,15,9,,1,"ole; ama","ole; ama","ʔama","ʔama","ʔama","ʔina","ʔina","ole; ʔina","ole; ʔina","ʔina"
"BALUAN_PAM",,"balu1257","","",0,,,,,,1,"nukna","nukna","tama","tama","tama","tina","tina","sae","sae","tina"
"LONIU",,"loni1238","","",0,,,,,,1,,,"ɲatama","ɲatama","čačah; ɲatama",,,,,"ɲanɛ; yaya"
"MUSSAU_EMIRA",,"muss1246","","",0,,,,,,1,"aloa-","aloa-","tama-; loka-","tama-; loka-","tama-","kina-","kina-","anongo-","anongo-","kina-"
"POLEO_TALISE",,"tali1259","","",0,,,,,,1,"tsagina","tsagina","kaka; tamana","kaka; tamana","kaka; tamana","lake; nana","lake; nana","tsagina","tsagina","lake; nana"
"TOLO",,"tali1259","","",0,,,,,,1,"tsagina","tsagina","kaka; tamana","kaka; tamana","kaka; tamana","lake; nana","lake; nana","tsagina","tsagina","lake; nana"
"MOLI_TALISE",,"tali1259","","",0,,,,,,1,"tsagina","tsagina","kaka; tamana","kaka; tamana","kaka; tamana","lake; nana","lake; nana","tsagina","tsagina","lake; nana"
"KOO_TALISE",,"tali1259","","",0,,,,,,1,"tsagina","tsagina","kaka; tamana","kaka; tamana","kaka; tamana","lake; nana","lake; nana","tsagina","tsagina","lake; nana"
"MALAGHETI_TALISE",,"tali1259","","",0,,,,,,1,"tsagina","tsagina","kaka; tamana","kaka; tamana","kaka; tamana","lake; nana","lake; nana","tsagina","tsagina","lake; nana"
"NGGELA",,"gela1263","","",0,,,,,,1,"tubu","tubu","tubu","tubu","tama",,,,,"tina"
"SAA",,"saaa1240","xd858","Ig6",1,8,7,15,9,4,1,"uweli","uweli",,,"ama-; ma'a",,,"nike","nike","nike; teitei"
"UKI_NI_MASI_SAA",,"saaa1240","xd858","Ig6",1,8,7,15,9,4,1,"uweli","uweli",,,"ama-; ma'a",,,"nike","nike","nike; teitei"
"AULU_SAA",,"saaa1240","xd858","Ig6",1,8,7,15,9,4,1,"uweli","uweli",,,"ama-; ma'a",,,"nike","nike","nike; teitei"
"ULAWA_SAA",,"saaa1240","xd858","Ig6",1,8,7,15,9,4,1,"uweli","uweli",,,"ama-; ma'a",,,"nike","nike","nike; teitei"
"AROSI_TAWATANA",,"aros1241","","",0,,,,,,1,"abebwau","abebwau","ama","ama","ama",,,,,
"ONEIBIA_AROSI",,"aros1241","","",0,,,,,,1,"abebwau","abebwau","ama","ama","ama",,,,,
"SANTA_ANA_OWA",,"owaa1237","","",0,,,,,,1,"epuna; mauana; momo; puku","epuna; mauana; momo; puku","emana; puku","emana; puku","emana","enana","enana","enana","enana","enana; nana"
"MARAU",,"area1240","","",0,,,,,,1,,,"mama-na; ama-na","mama-na; ama-na","mama-na; ama-na","nike-na","nike-na","nike-na","nike-na","nike-na"
"WAIAHAA_AREARE",,"area1240","","",0,,,,,,1,,,"mama-na; ama-na","mama-na; ama-na","mama-na; ama-na","nike-na","nike-na","nike-na","nike-na","nike-na"
"MAASUPA_AREARE",,"area1240","","",0,,,,,,1,,,"mama-na; ama-na","mama-na; ama-na","mama-na; ama-na","nike-na","nike-na","nike-na","nike-na","nike-na"
"LAU",,"lauu1247","","",0,,,,,,1,"kō","kō",,,"ama; maka; sāma","aia","aia","aia","aia","tē"
"KWAIO",,"kwai1243","xd850","Ig18",1,8,7,15,9,4,1,"ama; ini","ama; ini","ama; ma'a; ma'a fafo","ama; ma'a; ma'a fafo","ama; ma'a","ga'i; gena; te'e","ga'i; gena; te'e","ga'i; gena; te'e","ga'i; gena; te'e","ga'i; gena; te'e"
"LAU_NORTH",,"lauu1247","","",0,,,,,,1,"kō","kō",,,"ama; maka; sāma","aia","aia","aia","aia","tē"
"WALADE_LAU",,"lauu1247","","",0,,,,,,1,"kō","kō",,,"ama; maka; sāma","aia","aia","aia","aia","tē"
"TOABAITA",,"toab1237","","",0,,,,,,1,"kookoqo","kookoqo","kookoqo","kookoqo","maamaqa","kookoqo","kookoqo","kookoqo","kookoqo","nainaqa"
"ROTUMAN",,"rotu1241","xd872","Ih6",1,12,5,15,9,4,1,"o' fa' ak ia; oifā","o' fa' ak ia; oifā","o' fa' ak ia; oifā","o' fa' ak ia; oifā","'oto o' i ia; oifā","o' hani' ak ia; oihoni","o' hani' ak ia; oihoni","o' hani' ak ia; oihoni","o' hani' ak ia; oihoni","'oto o' hani ia; oihon'i"
"ROTUMAN_2",,"rotu1241","xd872","Ih6",1,12,5,15,9,4,1,"o' fa' ak ia; oifā","o' fa' ak ia; oifā","o' fa' ak ia; oifā","o' fa' ak ia; oifā","'oto o' i ia; oifā","o' hani' ak ia; oihoni","o' hani' ak ia; oihoni","o' hani' ak ia; oihoni","o' hani' ak ia; oihoni","'oto o' hani ia; oihon'i"
"FIJIAN",,"fiji1243","","",0,,,,,,1,"momo","momo","tamaqu","tamaqu","tamaqu","tinaqu","tinaqu","ganei; nei","ganei; nei","tinaqu"
"FIJIAN_2",,"fiji1243","","",0,,,,,,1,"momo","momo","tamaqu","tamaqu","tamaqu","tinaqu","tinaqu","ganei; nei","ganei; nei","tinaqu"
"NIUE",,"niue1239","xd888","Ii9",1,12,5,15,9,4,1,"matua tane; matua tane","matua tane; matua tane","matua tane; matua tane","matua tane; matua tane","matua tane; matua tane","matua fifine; matua fifine","matua fifine; matua fifine","matua fifine; matua fifine","matua fifine; matua fifine","matua fifine; matua fifine"
"TONGAN",,"tong1325","xd878","Ii12",1,8,7,15,9,4,1,"fa'ee tangata; tua; fa'e tangata","fa'ee tangata; tua; tu'asina","tamai; tamai; tamai","tamai; tamai; tamai","tamai; tamai; tamai","fa'ee; fa'e; fa'e","fa'ee; fa'e; fa'e","mehekitanga; mehekitanga; mehekitanga","mehekitanga; mehekitanga; mehekitanga","fa'ee; fa'e; fa'e"
"TONGAN_2",,"tong1325","xd878","Ii12",1,8,7,15,9,4,1,"fa'ee tangata; tua; fa'e tangata","fa'ee tangata; tua; tu'asina","tamai; tamai; tamai","tamai; tamai; tamai","tamai; tamai; tamai","fa'ee; fa'e; fa'e","fa'ee; fa'e; fa'e","mehekitanga; mehekitanga; mehekitanga","mehekitanga; mehekitanga; mehekitanga","fa'ee; fa'e; fa'e"
"EAST_FUTUNA",,"east2447","xd887","Ii8",1,12,5,15,9,4,1,"tu'a-tsinana; Tamana; Tu'a tsinana","tu'a-tsinana; Tamana; Tu'a tsinana","tamana; Tamana","tamana; Tamana","tamana; Tamana","tsinana; Tsinana","tsinana; Tsinana","masakitange; masakitanga; masakitange","masakitange; masakitanga; masakitange","tsinana; Tsinana"
"ANUTA",,"anut1237","","",0,,,,,,1,"tuatina","tuatina","tamana","tamana","tamana; maatuaa","pae","pae","makitanga","makitanga","pae; maatuaa"
"TIKOPIA",,"tiko1237","xd881","Ii2, SCCS100",1,12,5,15,9,4,1,"tuatina; tuatina","tuatina; tuatina","tamana; tamana","tamana; tamana","tamana; tamana","tinana; tinana","tinana; tinana","masikitaŋa; masikitanga","masikitaŋa; masikitanga","tinana; tinana"
"EMAE",,"emae1237","","",0,,,,,,1,,,,,"tamana",,,,,"tinana"
"ANIWA",,"futu1245","","",0,,,,,,1,"taruana; tomana; toshinana","taruana; tomana; toshinana","tamana","tamana","tamana",,,"amahavai","amahavai","toshinana"
"FUTUNA",,"futu1245","","",0,,,,,,1,"taruana; tomana; toshinana","taruana; tomana; toshinana","tamana","tamana","tamana",,,"amahavai","amahavai","toshinana"
"FILA",,"mele1250","","",0,,,,,,1,"aua","aua","mamau","mamau","emama; mamau; támana","mami","mami","mami","mami","etata; leita; tinana"
"MELE",,"mele1250","","",0,,,,,,1,"aua","aua","mamau","mamau","emama; mamau; támana","mami","mami","mami","mami","etata; leita; tinana"
"NANUMEA",,"tuva1244","xd883","Ii4",1,8,7,15,9,4,1,"tuatina; laamutu; ilaamutu; tuaatuna","tuatina; laamutu; ilaamutu; tuaatuna","tamana; tamana","tamana; tamana","tamana; tamana","maatua; fakamaatua","maatua; fakamaatua","maatua; fakamaatua","maatua; fakamaatua","matua; maatua; mama"
"TUVALUAN",,"tuva1244","xd883","Ii4",1,8,7,15,9,4,1,"tuatina; laamutu; ilaamutu; tuaatuna","tuatina; laamutu; ilaamutu; tuaatuna","tamana; tamana","tamana; tamana","tamana; tamana","maatua; fakamaatua","maatua; fakamaatua","maatua; fakamaatua","maatua; fakamaatua","matua; maatua; mama"
