"taxon","isocode","glottocode","xd_ids","soc_ids","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mMeB","mMyB","mFeB","mFyB","mF","mMeZ","mMyZ","mFeZ","mFyZ","mM"
"NYAKYUSA",,"nyak1260","","",0,,,,,,1,,,"taata unkulumba","taata unnandi","tata","mama unkulumba","mama unnandi","unnyasenga","unnyasenga","juuba"
"NKHONDE",,"nyak1260","","",0,,,,,,1,,,"taata unkulumba","taata unnandi","tata","mama unkulumba","mama unnandi","unnyasenga","unnyasenga","juuba"
"NYAKYUSA_1",,"nyak1260","","",0,,,,,,1,,,"taata unkulumba","taata unnandi","tata","mama unkulumba","mama unnandi","unnyasenga","unnyasenga","juuba"
"NYAKYUSA_2",,"nyak1260","","",0,,,,,,1,,,"taata unkulumba","taata unnandi","tata","mama unkulumba","mama unnandi","unnyasenga","unnyasenga","juuba"
"VALANGI",,"lang1320","xd93","Ad25",1,,,,,,1,"baba; baba","baba; baba","baba mʊdudi; baba mʊdudi","baba mʊdudi; baba mʊdudi","taata","mama mʊdudi; mama mʊdudi","mama mʊdudi; mama mʊdudi","mama; mama","mama; mama","iyo"
"MAKONDE",,"mako1251","xd68","Ac41",1,1,3,1,1,5,1,"numbugwemama; njomba; njombamunu","numbugwemama; njomba; njombamunu","numbugwemama; njomba; njombamunu","numbugwemama; njomba; njombamunu","chão; baba; atata; tatamunu","nang'olo; mama ndokyo","nang'olo; mama ndokyo","nang'olo; mama ndokyo","nang'olo; mama ndokyo","mama; jujumunu; ajala"
"BENDE",,"bend1258","xd85","Ad18",1,8,7,15,9,,1,"múkwetú","múkwetú","táata múkulú","táata múkulú","táata","måajo múkulú","måajo múkulú","sêngé","sêngé","måajo"
"F23_SUMBWA_YEKE",,"sumb1240","xd117","Ad47",1,7,8,15,9,5,1,,,,,"þååþå",,,"sèèngi","sèèngi","mååyù"
"SUMBWA",,"sumb1240","xd117","Ad47",1,7,8,15,9,5,1,,,,,"þååþå",,,"sèèngi","sèèngi","mååyù"
"F21_SUKUMA",,"suku1261","xd90","Ad22",1,7,8,15,9,1,1,"maarrub","maarrub","baba","baba","þaaþå","mayu","mayu","sèèngi","sèèngi","maayu"
