Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
819	0.258852	181	0.657459	1.847170	819	0.258852	0.331000	0.353611	
817	0.265606	183	0.721311	1.847170	817	0.265606	0.349000	0.353607	
842	0.306413	158	0.626582	1.847170	842	0.306413	0.357000	0.353610	
821	0.289890	179	0.625698	1.847170	821	0.289890	0.350000	0.353607	
832	0.258413	168	0.583333	1.847170	832	0.258413	0.313000	0.353574	
857	0.278880	143	0.573427	1.847170	857	0.278880	0.321000	0.353547	
833	0.328932	167	0.700599	1.847170	833	0.328932	0.391000	0.353578	
858	0.307692	142	0.640845	1.847170	858	0.307692	0.355000	0.353579	
839	0.315852	161	0.683230	1.847170	839	0.315852	0.375000	0.353596	
836	0.269139	164	0.621951	1.847170	836	0.269139	0.327000	0.353575	
825	0.344242	175	0.622857	1.847170	825	0.344242	0.393000	0.353607	
840	0.314286	160	0.618750	1.847170	840	0.314286	0.363000	0.353614	
834	0.304556	166	0.662651	1.847170	834	0.304556	0.364000	0.353623	
816	0.284314	184	0.635870	1.847170	816	0.284314	0.349000	0.353619	
833	0.294118	167	0.646707	1.847170	833	0.294118	0.353000	0.353619	
848	0.297170	152	0.638158	1.847170	848	0.297170	0.349000	0.353615	
848	0.318396	152	0.664474	1.847170	848	0.318396	0.371000	0.353629	
841	0.340071	159	0.647799	1.847170	841	0.340071	0.389000	0.353657	
832	0.306490	168	0.607143	1.847170	832	0.306490	0.357000	0.353660	
839	0.282479	161	0.552795	1.847170	839	0.282479	0.326000	0.353638	
838	0.272076	162	0.660494	1.847170	838	0.272076	0.335000	0.353623	
825	0.295758	175	0.645714	1.847170	825	0.295758	0.357000	0.353626	
829	0.313631	171	0.678363	1.847170	829	0.313631	0.376000	0.353644	
842	0.292162	158	0.632911	1.847170	842	0.292162	0.346000	0.353637	
854	0.268150	146	0.739726	1.847170	854	0.268150	0.337000	0.353624	
824	0.292476	176	0.636364	1.847170	824	0.292476	0.353000	0.353624	
826	0.288136	174	0.660920	1.847170	826	0.288136	0.353000	0.353623	
826	0.303874	174	0.655172	1.847170	826	0.303874	0.365000	0.353632	
822	0.317518	178	0.634831	1.847170	822	0.317518	0.374000	0.353648	
839	0.293206	161	0.503106	1.847170	839	0.293206	0.327000	0.353627	
830	0.271084	170	0.647059	1.847170	830	0.271084	0.335000	0.353612	
848	0.300708	152	0.625000	1.847170	848	0.300708	0.350000	0.353609	
827	0.299879	173	0.658960	1.847170	827	0.299879	0.362000	0.353616	
855	0.292398	145	0.689655	1.847170	855	0.292398	0.350000	0.353613	
849	0.321555	151	0.668874	1.847170	849	0.321555	0.374000	0.353629	
846	0.286052	154	0.642857	1.847170	846	0.286052	0.341000	0.353619	
834	0.261391	166	0.590361	1.847170	834	0.261391	0.316000	0.353589	
829	0.284680	171	0.619883	1.847170	829	0.284680	0.342000	0.353580	
828	0.288647	172	0.587209	1.847170	828	0.288647	0.340000	0.353569	
823	0.312272	177	0.661017	1.847170	823	0.312272	0.374000	0.353586	
838	0.288783	162	0.629630	1.847170	838	0.288783	0.344000	0.353578	
863	0.323291	137	0.481752	1.847170	863	0.323291	0.345000	0.353571	
844	0.330569	156	0.589744	1.847170	844	0.330569	0.371000	0.353585	
845	0.313609	155	0.612903	1.847170	845	0.313609	0.360000	0.353590	
862	0.308585	138	0.644928	1.847170	862	0.308585	0.355000	0.353591	
828	0.315217	172	0.720930	1.847170	828	0.315217	0.385000	0.353616	
840	0.279762	160	0.718750	1.847170	840	0.279762	0.350000	0.353613	
843	0.298932	157	0.707006	1.847170	843	0.298932	0.363000	0.353621	
839	0.330155	161	0.627329	1.847170	839	0.330155	0.378000	0.353640	
818	0.332518	182	0.560440	1.847170	818	0.332518	0.374000	0.353656	
835	0.310180	165	0.593939	1.847170	835	0.310180	0.357000	0.353659	
827	0.311971	173	0.601156	1.847170	827	0.311971	0.362000	0.353665	
834	0.321343	166	0.469880	1.847170	834	0.321343	0.346000	0.353659	
834	0.303357	166	0.620482	1.847170	834	0.303357	0.356000	0.353661	
834	0.314149	166	0.650602	1.847170	834	0.314149	0.370000	0.353674	
821	0.292326	179	0.648045	1.847170	821	0.292326	0.356000	0.353676	
837	0.310633	163	0.711656	1.847170	837	0.310633	0.376000	0.353693	
842	0.296912	158	0.563291	1.847170	842	0.296912	0.339000	0.353682	
854	0.316159	146	0.595890	1.847170	854	0.316159	0.357000	0.353684	
834	0.345324	166	0.566265	1.847170	834	0.345324	0.382000	0.353706	
841	0.312723	159	0.660377	1.847170	841	0.312723	0.368000	0.353717	
841	0.274673	159	0.641509	1.847170	841	0.274673	0.333000	0.353701	
851	0.284371	149	0.664430	1.847170	851	0.284371	0.341000	0.353691	
863	0.288528	137	0.569343	1.847170	863	0.288528	0.327000	0.353671	
850	0.304706	150	0.480000	1.847170	850	0.304706	0.331000	0.353653	
841	0.275862	159	0.597484	1.847170	841	0.275862	0.327000	0.353632	
828	0.288647	172	0.587209	1.847170	828	0.288647	0.340000	0.353622	
815	0.314110	185	0.648649	1.847170	815	0.314110	0.376000	0.353639	
850	0.323529	150	0.626667	1.847170	850	0.323529	0.369000	0.353651	
826	0.307506	174	0.614943	1.847170	826	0.307506	0.361000	0.353657	
833	0.298920	167	0.676647	1.847170	833	0.298920	0.362000	0.353663	
826	0.305085	174	0.591954	1.847170	826	0.305085	0.355000	0.353664	
856	0.286215	144	0.583333	1.847170	856	0.286215	0.329000	0.353645	
821	0.306943	179	0.592179	1.847170	821	0.306943	0.358000	0.353648	
845	0.308876	155	0.574194	1.847170	845	0.308876	0.350000	0.353646	
840	0.283333	160	0.650000	1.847170	840	0.283333	0.342000	0.353637	
842	0.318290	158	0.481013	1.847170	842	0.318290	0.344000	0.353629	
822	0.288321	178	0.674157	1.847170	822	0.288321	0.357000	0.353632	
842	0.331354	158	0.658228	1.847170	842	0.331354	0.383000	0.353654	
826	0.322034	174	0.591954	1.847170	826	0.322034	0.369000	0.353666	
832	0.318510	168	0.547619	1.847170	832	0.318510	0.357000	0.353669	
816	0.317402	184	0.630435	1.847170	816	0.317402	0.375000	0.353685	
837	0.291517	163	0.595092	1.847170	837	0.291517	0.341000	0.353675	
832	0.318510	168	0.625000	1.847170	832	0.318510	0.370000	0.353688	
828	0.316425	172	0.598837	1.847170	828	0.316425	0.365000	0.353697	
828	0.301932	172	0.627907	1.847170	828	0.301932	0.358000	0.353700	
828	0.317633	172	0.674419	1.847170	828	0.317633	0.379000	0.353719	
840	0.282143	160	0.556250	1.847170	840	0.282143	0.326000	0.353698	
840	0.276190	160	0.600000	1.847170	840	0.276190	0.328000	0.353678	
824	0.305825	176	0.715909	1.847170	824	0.305825	0.378000	0.353697	
842	0.340855	158	0.563291	1.847170	842	0.340855	0.376000	0.353714	
836	0.299043	164	0.615854	1.847170	836	0.299043	0.351000	0.353712	
837	0.289128	163	0.631902	1.847170	837	0.289128	0.345000	0.353705	
842	0.285036	158	0.582278	1.847170	842	0.285036	0.332000	0.353689	
820	0.259756	180	0.577778	1.847170	820	0.259756	0.317000	0.353661	
831	0.320096	169	0.550296	1.847170	831	0.320096	0.359000	0.353665	
828	0.317633	172	0.587209	1.847170	828	0.317633	0.364000	0.353673	
830	0.275904	170	0.511765	1.847170	830	0.275904	0.316000	0.353644	
813	0.297663	187	0.641711	1.847170	813	0.297663	0.362000	0.353650	
852	0.257042	148	0.648649	1.847170	852	0.257042	0.315000	0.353621	
831	0.285199	169	0.615385	1.847170	831	0.285199	0.341000	0.353612	
853	0.287222	147	0.625850	1.847170	853	0.287222	0.337000	0.353599	
856	0.297897	144	0.541667	1.847170	856	0.297897	0.333000	0.353583	
