Options:
Model:                           Discrete: Independent
Tree File Name:                  ./processed_data/fXpermitted.bttrees
Data File Name:                  ./processed_data/fXpermitted.btdata
Log File Name:                   ./results/fXpermitted-indep-1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2430951605
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./results/fXpermitted-indep-1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
216000	-54.229315	46	64.534960	13.034330	1.289646	1.462608	0.396444	0.103556	0.396444	0.103556	
217000	-54.513030	11	29.795586	5.297388	1.794316	0.992207	0.411135	0.088865	0.411135	0.088865	
218000	-56.008733	31	7.862275	0.571780	1.992723	0.368715	0.507631	0.023358	0.448379	0.020632	
219000	-54.487039	16	15.260818	1.716598	0.231214	3.875927	0.068490	0.432191	0.068304	0.431015	
220000	-53.567449	17	1.390795	0.442469	2.786598	4.126413	0.067501	0.065517	0.439955	0.427027	
221000	-55.853121	30	0.637253	0.797877	0.722909	1.056912	0.057649	0.010653	0.786381	0.145318	
222000	-55.443706	92	30.805364	3.089180	2.399276	2.607348	0.301746	0.198254	0.301746	0.198254	
223000	-53.949613	43	37.521420	6.092858	1.367691	0.315679	0.490498	0.009502	0.490498	0.009502	
224000	-52.905365	61	0.775724	0.966122	0.845213	4.956187	0.016655	0.038842	0.283452	0.661051	
225000	-55.310421	88	12.239822	2.730075	3.645769	7.098146	0.247101	0.252695	0.247303	0.252901	
226000	-51.315438	75	2.249052	0.806696	0.771116	3.375207	0.085529	0.178848	0.237982	0.497641	
227000	-53.267232	93	18.624859	2.337693	0.348051	2.278266	0.166261	0.333757	0.166249	0.333733	
228000	-51.848766	57	15.975043	2.402172	0.993041	3.412736	0.219748	0.280276	0.219727	0.280249	
229000	-53.907096	96	6.733752	1.772258	0.939034	1.428636	0.393741	0.083719	0.430916	0.091624	
230000	-52.523498	8	5.827965	1.749502	0.196603	2.521639	0.089541	0.379195	0.101486	0.429778	
231000	-52.380817	98	0.258165	0.562919	1.150682	0.400413	0.008487	0.000204	0.968049	0.023261	
232000	-56.773679	22	14.618284	3.447841	4.305661	2.805412	0.292753	0.207213	0.292793	0.207241	
233000	-54.315014	28	3.992873	1.908011	0.485139	1.847982	0.205308	0.233157	0.262934	0.298600	
234000	-52.755826	47	11.460365	1.867095	1.218958	3.254283	0.214859	0.285655	0.214418	0.285069	
