Options:
Model:                           Discrete: Independent
Tree File Name:                  ./ccm/data/bt_data/fXpermitted.bttrees
Data File Name:                  ./ccm/data/bt_data/fXpermitted.btdata
Log File Name:                   ./ccm/bt_output/fXpermitted-indep-2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2613100307
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./ccm/bt_output/fXpermitted-indep-2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
111000	-54.704118	20	10.189464	1.502162	3.405484	3.265392	0.283486	0.217688	0.282157	0.216668	
112000	-55.607773	8	12.722995	2.351101	3.250273	1.330135	0.405741	0.094301	0.405673	0.094285	
113000	-53.978520	29	25.022770	4.628866	2.027974	0.442798	0.469319	0.030681	0.469319	0.030681	
114000	-53.241312	77	7.887820	0.919175	2.068004	4.752149	0.237578	0.277577	0.223599	0.261246	
115000	-52.910727	70	1.596724	0.473221	1.928270	0.221685	0.200871	0.002441	0.787125	0.009563	
116000	-54.512697	69	7.728596	0.407958	1.169503	3.397184	0.270867	0.404471	0.130216	0.194445	
117000	-52.367085	40	8.792592	1.046910	0.174832	3.150806	0.072604	0.436756	0.069936	0.420704	
118000	-52.833641	39	2.338207	0.723224	1.457788	1.874231	0.208922	0.086581	0.498083	0.206414	
119000	-55.463274	49	1.418749	0.843065	3.151945	6.239903	0.091919	0.094773	0.400437	0.412871	
120000	-53.447875	43	3.895867	1.269669	1.032531	4.359945	0.150366	0.261462	0.214752	0.373420	
121000	-54.045900	14	4.743126	0.516356	0.335833	4.252706	0.118054	0.372743	0.122481	0.386722	
122000	-53.518474	93	23.016571	2.922938	1.576679	3.595373	0.233339	0.266662	0.233338	0.266661	
123000	-52.848978	29	6.353344	1.286255	0.821660	3.013535	0.206561	0.284860	0.213773	0.294806	
124000	-54.314396	75	6.664283	0.432416	2.677470	2.207078	0.442911	0.206649	0.238952	0.111488	
125000	-51.381500	17	10.949119	1.975520	0.112261	2.476463	0.058780	0.441177	0.058790	0.441252	
126000	-51.885113	75	1.557361	0.684063	1.410539	2.922648	0.082199	0.091243	0.391730	0.434828	
127000	-52.204606	77	6.932194	1.428443	1.455601	1.612051	0.390418	0.097358	0.409986	0.102238	
128000	-54.113768	1	10.212868	2.639186	1.263318	2.360905	0.272415	0.226633	0.273454	0.227498	
129000	-54.385144	90	7.409686	1.157366	2.315396	1.345925	0.368503	0.131445	0.368580	0.131473	
130000	-53.610788	5	17.384557	3.839531	0.897046	2.456131	0.251012	0.248986	0.251014	0.248988	
131000	-53.404421	62	1.596215	0.966746	1.290888	4.524471	0.068849	0.104842	0.327539	0.498770	
132000	-52.808040	19	14.410787	2.921852	1.094422	0.400750	0.491260	0.008714	0.491310	0.008715	
133000	-51.879272	17	3.826304	0.770345	1.754434	0.956085	0.357113	0.035867	0.551618	0.055402	
134000	-51.761711	6	7.452161	1.111729	1.386317	0.409363	0.491553	0.009921	0.488664	0.009862	
135000	-53.699323	1	10.204408	1.340917	0.312400	4.523017	0.107308	0.394726	0.106438	0.391528	
136000	-54.584066	19	0.838199	0.927532	4.122585	2.888004	0.038983	0.026920	0.552536	0.381561	
137000	-51.892803	17	5.318985	0.610719	0.891445	3.096618	0.191701	0.309909	0.190470	0.307920	
138000	-53.203582	67	2.050566	0.728615	1.680751	4.295763	0.102170	0.135253	0.328158	0.434418	
139000	-54.300385	78	15.067449	1.747204	1.671629	1.098734	0.437356	0.062892	0.436921	0.062830	
140000	-53.275981	46	17.309976	3.588403	1.605849	1.393950	0.406526	0.093472	0.406529	0.093473	
141000	-52.856637	71	12.447550	2.879523	0.930853	3.014212	0.202339	0.297553	0.202426	0.297682	
142000	-52.624747	82	6.568983	1.187151	1.704283	3.558933	0.218524	0.266285	0.232218	0.282972	
143000	-54.151995	74	1.751986	0.480885	1.611975	2.900356	0.109962	0.108824	0.392639	0.388575	
144000	-53.544260	28	1.239305	1.272866	2.271144	4.222189	0.081725	0.087279	0.401843	0.429153	
145000	-54.244954	7	23.723882	5.482189	1.205165	3.360483	0.214964	0.285036	0.214964	0.285036	
146000	-52.324133	82	7.472636	0.841574	1.355367	0.080555	0.521756	0.000466	0.477351	0.000427	
147000	-62.847999	21	24.824495	2.004002	28.284694	21.196345	0.250005	0.250005	0.249995	0.249995	
148000	-53.653885	55	8.625147	1.971278	1.446826	2.772443	0.249734	0.247843	0.252166	0.250256	
149000	-54.231174	88	14.508297	3.165720	3.259478	4.070261	0.260331	0.239639	0.260363	0.239668	
150000	-51.894331	61	9.948215	0.695497	0.134028	3.190972	0.047840	0.490480	0.041029	0.420651	
151000	-53.873636	81	6.698150	1.337537	0.637923	1.908040	0.266978	0.223957	0.276837	0.232227	
152000	-54.097340	56	0.818690	0.741995	2.252923	0.711029	0.072795	0.007379	0.835172	0.084655	
153000	-55.353371	62	4.379670	1.262466	3.824968	2.611263	0.266265	0.157285	0.362386	0.214064	
154000	-53.377960	46	15.059475	2.741132	2.587195	3.292420	0.268043	0.231963	0.268037	0.231957	
155000	-54.941549	68	4.640866	1.200983	3.345430	5.954773	0.218400	0.224949	0.274214	0.282436	
156000	-54.618431	48	10.411224	3.083609	0.898273	1.950047	0.264720	0.234579	0.265464	0.235238	
157000	-57.236519	40	4.198134	1.326191	10.276868	14.095737	0.212014	0.212014	0.287986	0.287986	
158000	-52.615097	93	5.621676	0.810051	0.028738	4.138211	0.013944	0.474508	0.014603	0.496945	
159000	-52.357125	46	3.677413	1.818405	0.648745	2.872311	0.145463	0.268311	0.206089	0.380137	
160000	-52.282362	13	0.364587	0.757939	0.455586	3.436888	0.005849	0.014262	0.285003	0.694886	
161000	-53.594067	14	10.977253	2.560713	2.207053	1.937233	0.337305	0.162413	0.337686	0.162596	
162000	-52.473859	27	8.411421	1.447250	0.228136	3.602266	0.088143	0.410999	0.088446	0.412412	
163000	-53.555572	39	5.687482	0.417969	1.376375	0.655060	0.577185	0.039274	0.359106	0.024435	
164000	-53.072393	61	7.394525	2.500093	2.331106	3.176102	0.266063	0.221282	0.279880	0.232774	
165000	-56.404981	10	3.252164	1.255535	7.734595	9.042277	0.192563	0.192525	0.307486	0.307425	
166000	-50.648878	57	4.694420	0.893416	0.356562	3.575474	0.128732	0.333523	0.149755	0.387990	
167000	-55.205099	16	5.648580	0.950384	3.625684	7.443047	0.233169	0.240654	0.258932	0.267245	
168000	-52.602922	19	1.595433	1.181833	1.891687	1.904998	0.136966	0.045706	0.612826	0.204502	
169000	-53.901327	75	1.436148	0.383959	0.275394	4.471771	0.023148	0.132244	0.125818	0.718791	
170000	-51.669476	77	12.183494	2.228707	0.087126	3.264995	0.031407	0.468611	0.031405	0.468578	
171000	-53.618090	99	7.722383	1.446700	1.283035	0.751266	0.459097	0.036648	0.466979	0.037277	
172000	-53.152171	96	1.086518	0.905180	1.563537	4.374253	0.042738	0.059773	0.374174	0.523314	
173000	-52.969807	20	2.441404	1.383320	0.300379	3.213526	0.084174	0.227528	0.185873	0.502425	
174000	-53.157521	43	4.524554	1.061788	2.092471	1.640096	0.332752	0.106047	0.425573	0.135629	
175000	-51.769814	61	4.707189	0.998596	0.648575	1.769204	0.207361	0.228191	0.268727	0.295721	
176000	-54.041532	88	3.609658	1.377403	3.845257	4.203763	0.203772	0.187346	0.317226	0.291655	
177000	-54.090179	49	8.994200	1.450786	1.236500	1.218705	0.418978	0.081452	0.418259	0.081312	
178000	-55.053160	81	11.523922	3.427779	2.686795	1.670225	0.364226	0.135502	0.364622	0.135650	
179000	-52.193082	61	4.569237	1.612960	0.885152	0.321329	0.422962	0.004490	0.566534	0.006014	
180000	-53.036689	26	5.868174	1.142897	2.076277	4.659470	0.222964	0.254642	0.243873	0.278521	
181000	-52.238881	41	6.564517	1.454007	0.639276	2.936018	0.161776	0.321557	0.172933	0.343733	
182000	-53.947728	75	19.623121	2.967337	2.685032	0.438187	0.478918	0.021088	0.478907	0.021087	
183000	-54.614836	76	10.913296	2.304437	2.974762	4.276493	0.253637	0.246108	0.253896	0.246359	
184000	-53.878131	92	9.935695	0.929830	1.068592	2.602168	0.254359	0.253252	0.246732	0.245657	
185000	-54.005771	62	1.068169	0.809584	2.498249	0.268027	0.092175	0.001258	0.894361	0.012206	
186000	-55.260156	11	10.359739	2.510866	2.855519	1.092476	0.380806	0.118895	0.381261	0.119038	
187000	-52.687474	32	1.532808	0.760816	1.737160	5.442975	0.071716	0.094914	0.358675	0.474694	
188000	-54.378707	72	19.169911	6.018776	1.837338	0.270963	0.490331	0.009668	0.490332	0.009668	
189000	-53.070503	86	34.029596	6.057567	0.498699	4.074340	0.154182	0.345818	0.154182	0.345818	
190000	-52.397833	32	1.655430	1.379649	1.667654	0.015377	0.195463	0.000008	0.804497	0.000033	
191000	-56.077531	28	19.742403	1.911146	2.985911	1.211904	0.394022	0.105987	0.394008	0.105983	
192000	-53.232707	35	4.482180	1.110947	1.043872	5.129823	0.167259	0.272474	0.213106	0.347161	
193000	-54.836029	67	1.513207	1.500634	2.721844	3.164092	0.100475	0.075601	0.470161	0.353763	
194000	-53.170973	6	11.060839	1.955863	2.413642	4.258274	0.246820	0.253285	0.246717	0.253179	
195000	-53.631295	67	54.879808	11.287236	0.807570	2.975087	0.192191	0.307809	0.192191	0.307809	
196000	-54.599681	21	5.646206	0.980830	4.038945	3.122126	0.277664	0.181792	0.326668	0.213876	
197000	-52.443878	17	7.610231	0.586066	0.003846	2.572251	0.002674	0.581217	0.001905	0.414204	
198000	-53.157014	87	15.074588	2.894147	0.756786	2.931363	0.183252	0.316747	0.183253	0.316748	
199000	-52.879273	28	6.466787	1.312365	2.044989	1.174474	0.403401	0.085571	0.421597	0.089431	
200000	-55.765006	14	1.807917	1.173018	3.462162	7.394458	0.135167	0.137161	0.361173	0.366499	
201000	-52.225731	96	2.635147	0.745701	0.855444	0.312046	0.298051	0.003484	0.690394	0.008070	
202000	-53.803273	71	7.230693	1.029661	2.218524	0.533067	0.473868	0.028928	0.468598	0.028606	
203000	-54.633864	50	9.594199	0.980589	0.033924	1.870755	0.041223	0.469046	0.039564	0.450166	
204000	-57.585770	27	2.828688	0.790821	8.077012	10.174473	0.182076	0.182074	0.317926	0.317923	
205000	-53.944915	40	0.527288	0.779631	2.363503	1.352446	0.027861	0.006459	0.783938	0.181742	
206000	-51.835780	17	1.179478	0.618758	1.150753	2.669477	0.049501	0.054599	0.426017	0.469884	
207000	-52.394885	61	12.142506	1.319139	2.276939	1.035247	0.447720	0.055333	0.442285	0.054662	
208000	-53.857257	44	22.010280	4.744479	2.874745	4.687938	0.249393	0.250607	0.249393	0.250607	
209000	-56.047037	54	7.359357	1.712070	0.516112	1.177452	0.363245	0.128698	0.375143	0.132914	
210000	-54.320960	49	7.872011	1.249402	0.503859	4.831626	0.145668	0.354391	0.145634	0.354307	
211000	-53.325150	77	25.167629	3.076107	1.566516	1.011302	0.448952	0.051048	0.448951	0.051048	
212000	-59.199596	99	17.691758	6.348090	4.247095	3.276454	0.273649	0.226349	0.273651	0.226351	
213000	-53.438370	85	17.694155	1.935209	0.035133	2.013741	0.033568	0.466454	0.033565	0.466412	
214000	-54.021693	8	1.139774	0.384708	1.720761	0.778606	0.096027	0.007073	0.835370	0.061530	
215000	-56.034733	42	11.124489	1.046893	3.509745	4.303433	0.258882	0.247337	0.252521	0.241260	
216000	-55.679558	43	1.570918	0.753580	5.156274	6.551484	0.095790	0.095432	0.405145	0.403634	
217000	-50.351126	61	2.651999	0.622355	0.207229	2.820403	0.042284	0.262052	0.096654	0.599010	
218000	-53.321088	41	14.234094	2.878958	1.317570	3.534053	0.214003	0.285979	0.214019	0.286000	
219000	-53.101256	70	2.751680	1.677123	1.533400	0.558133	0.339997	0.018190	0.609220	0.032594	
220000	-55.147418	31	12.690685	2.110290	3.028144	5.322094	0.246708	0.253313	0.246687	0.253292	
221000	-53.739928	62	1.964518	1.442909	0.755966	3.740070	0.078614	0.155602	0.257033	0.508751	
222000	-53.763528	14	31.411077	4.653054	1.888369	0.436379	0.473169	0.026831	0.473169	0.026831	
223000	-53.941290	36	0.786164	1.266407	2.192072	3.975139	0.037966	0.037208	0.467077	0.457749	
224000	-53.002245	47	1.067945	0.819051	1.998333	1.841288	0.073956	0.023054	0.688397	0.214593	
225000	-54.465380	16	18.124100	3.734493	1.824779	0.096718	0.499332	0.000665	0.499337	0.000665	
226000	-60.494743	40	5.522143	4.369955	1.981007	1.048515	0.418746	0.062131	0.452051	0.067072	
227000	-54.231467	59	18.524515	7.207841	1.450711	0.233622	0.495855	0.004143	0.495858	0.004143	
228000	-53.927593	86	7.525759	2.083571	1.785041	2.054622	0.327353	0.167384	0.334318	0.170945	
229000	-50.909890	96	9.272543	1.899791	1.226696	0.002662	0.496880	0.000001	0.503119	0.000001	
230000	-51.869629	32	6.144200	0.891017	1.991598	1.583000	0.402057	0.095104	0.406649	0.096190	
231000	-52.547581	20	2.122815	1.320479	1.375801	0.070593	0.273777	0.000233	0.725374	0.000617	
232000	-52.219863	47	2.560867	0.930193	0.699092	4.250570	0.095714	0.210890	0.216461	0.476935	
