"","ID","Glottocode","Parameter_ID","Form","speaker","mf","consonant","vowel","reduplication"
"114","v_bafiabafi1243-mF-1","bafi1243","mF","tààtà","m","F",NA,NA,NA
"115","v_bafiabafi1243-mM-2","bafi1243","mM","ńmàà","m","M",NA,NA,NA
"116","v_balicongobali1274-mF-1","bali1274","mF","yabà","m","F",NA,NA,NA
"117","v_balicongobali1274-mM-1","bali1274","mM","yamá","m","M",NA,NA,NA
"118","v_balidrcbali1275-mF-1","bali1275","mF","yabà","m","F",NA,NA,NA
"119","v_balidrcbali1275-mM-1","bali1275","mM","yamá","m","M",NA,NA,NA
"120","v_bamunbamu1253-mF-1","bamu1253","mF","wǎ","m","F",NA,NA,NA
"121","v_bamunbamu1253-mM-1","bamu1253","mM","nǎ","m","M",NA,NA,NA
"122","v_batangabata1285-mM-1","bata1285","mM","iné","m","M",NA,NA,NA
"123","v_batangabata1285-mF-1","bata1285","mF","hangwé","m","F",NA,NA,NA
"124","v_batangabata1285-mF-2","bata1285","mF","paé","m","F",NA,NA,NA
"125","v_batangabata1285-mM-2","bata1285","mM","nyangwé","m","M",NA,NA,NA
"126","v_batangabata1285-mF-3","bata1285","mF","paya","m","F",NA,NA,NA
"127","v_batangabata1285-mM-3","bata1285","mM","ina","m","M",NA,NA,NA
"128","v_bembabemb1257-mM-1","bemb1257","mM","yangu","m","M",NA,NA,NA
"129","v_bembabemb1257-mF-1","bemb1257","mF","tata","m","F",NA,NA,NA
"130","v_bembabemb1257-mM-2","bemb1257","mM","mayo","m","M",NA,NA,NA
"131","v_benatanzaniabena1262-mF-1","bena1262","mF","dada","m","F",NA,NA,NA
"132","v_benatanzaniabena1262-mM-1","bena1262","mM","yuva","m","M",NA,NA,NA
"133","v_benatanzaniabena1262-mM-2","bena1262","mM","mayi","m","M",NA,NA,NA
"134","v_bendebend1258-mF-1","bend1258","mF","táata","m","F",NA,NA,NA
"135","v_bendebend1258-mM-1","bend1258","mM","måajo","m","M",NA,NA,NA
"136","v_berabera1259-mF-1","bera1259","mF","mîkí","m","F",NA,NA,NA
"137","v_berabera1259-mM-1","bera1259","mM","bàhá","m","M",NA,NA,NA
"138","v_bilabila1255-mF-1","bila1255","mF","èpá","m","F",NA,NA,NA
"139","v_bilabila1255-mM-1","bila1255","mM","êmá","m","M",NA,NA,NA
"140","v_budzabudz1238-mF-1","budz1238","mF","sango","m","F",NA,NA,NA
"141","v_budzabudz1238-mM-1","budz1238","mM","nango","m","M",NA,NA,NA
"142","v_bukusubuku1249-mF-1","buku1249","mF","paapa","m","F",NA,NA,NA
"143","v_bukusubuku1249-mM-1","buku1249","mM","maayi","m","M",NA,NA,NA
"144","v_bushoongbush1247-mF-1","bush1247","mF","tata","m","F",NA,NA,NA
"145","v_bushoongbush1247-mM-1","bush1247","mM","mai","m","M",NA,NA,NA
