"taxon","glottocode","xd_ids","soc_ids","ea_id","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mF","mFeB","mFyB","mMeB","mMyB","mWF","mM","mFeZ","mFyZ","mMeZ","mMyZ","mWM"
"B11a_Mpongwe","myen1241","xd167","Ae46","Ae46",1,,,,,,1,"rèrè; tata; rèra","rer'onèró zaḿi","rer'erumbe zaḿi","ngw'onèró zaḿi","ngw'erumbe zaḿi","rer'ogóï","ngwè; iya","tata nyanto; ngwè; rèrè; ezómbi za rer'iyaḿi","tata nyanto; ngwè; rèrè; ezómbi za rer'iyaḿi","ngwè","ngwè","ngw'ogóï"
"B11b_Orungu","myen1241","","",,1,,,,,,1,"rèrè; tata; rèra","rer'onèró zaḿi","rer'erumbe zaḿi","ngw'onèró zaḿi","ngw'erumbe zaḿi","rer'ogóï","ngwè; iya","tata nyanto; ngwè; rèrè; ezómbi za rer'iyaḿi","tata nyanto; ngwè; rèrè; ezómbi za rer'iyaḿi","ngwè","ngwè","ngw'ogóï"
"B11c_Galwa","myen1241","","",,1,,,,,,1,"rèrè; tata; rèra","rer'onèró zaḿi","rer'erumbe zaḿi","ngw'onèró zaḿi","ngw'erumbe zaḿi","rer'ogóï","ngwè; iya","tata nyanto; ngwè; rèrè; ezómbi za rer'iyaḿi","tata nyanto; ngwè; rèrè; ezómbi za rer'iyaḿi","ngwè","ngwè","ngw'ogóï"
"B11d_Dyumba","myen1241","","",,1,,,,,,1,"rèrè; tata; rèra","rer'onèró zaḿi","rer'erumbe zaḿi","ngw'onèró zaḿi","ngw'erumbe zaḿi","rer'ogóï","ngwè; iya","tata nyanto; ngwè; rèrè; ezómbi za rer'iyaḿi","tata nyanto; ngwè; rèrè; ezómbi za rer'iyaḿi","ngwè","ngwè","ngw'ogóï"
"B11F_Enenga","myen1241","","",,1,,,,,,1,"rèrè; tata; rèra","rer'onèró zaḿi","rer'erumbe zaḿi","ngw'onèró zaḿi","ngw'erumbe zaḿi","rer'ogóï","ngwè; iya","tata nyanto; ngwè; rèrè; ezómbi za rer'iyaḿi","tata nyanto; ngwè; rèrè; ezómbi za rer'iyaḿi","ngwè","ngwè","ngw'ogóï"
"B21_Seki","seki1238","","",,0,,,,,,1,"tata","tata","tata","kokwè","kokwè",,"yayè","mamonimbé","mamonimbé","yayè","yayè",
"B22a_Kele","kele1257","","",,0,,,,,,1,"shangwè","shangwè","shangwè","kuku","kuku",,"nyangwè","mamo","mamo","nyangwè","nyangwè",
"B25_Kota","kota1274","xd162","Ae41","Ae41",0,8,7,15,9,,1,"hangwè","hangwè","hangwè","lawu","lawu","tjíò","nyangwè","màmá","màmá","nyangwè; màmá","nyangwè; màmá",
"B251_Shake","sake1247","","",,0,,,,,,1,"shangwè","shangwè","shangwè","kuku","kuku",,"nyangwè","mamo","mamo","nyangwè","nyangwè",
"B304_Pinzi","pinj1243","","",,0,,,,,,1,"tétà","tétà","tétà","mbalo; katshi","mbalo; katshi",,"iyà","tétà","tétà","iyà","iyà",
"B31_Tsogo","tsog1243","xd40","Ac16","Ac16",1,,,,,,1,"tétà","tétà","tétà","mbalo; katshi","mbalo; katshi","ogöii","iyà","tétà","tétà","iyà","iyà","ogöii"
"B41_Shira","sira1266","","",,0,,,,,,1,"tayi","tayi","tayi","katsi","katsi",,"nguyi","tayi mughetu","tayi mughetu","nguyi","nguyi",
"B42_Sangu_Mb","sang1333","","",,0,,,,,,1,"tayi","tayi","tayi","katsi","katsi",,"nguyi","tayi mughetu","tayi mughetu","nguyi","nguyi",
"B42_Sangu_Mi","sang1333","","",,0,,,,,,1,"tayi","tayi","tayi","katsi","katsi",,"nguyi","tayi mughetu","tayi mughetu","nguyi","nguyi",
"B43_Punu","punu1239","","",,0,,,,,,1,"tadji","tadji","tadji","katsi","katsi",,"ngudji","tadji kétu; tadji","tadji kétu; tadji","ngudji","ngudji",
"B51_Duma","duma1253","","",,0,,,,,,1,"tata","tata","tata","ngubala","ngubala",,"ngu","ta-mukasu","ta-mukasu","ngu","ngu",
"B51_Duma_La","duma1253","","",,0,,,,,,1,"tata","tata","tata","ngubala","ngubala",,"ngu","ta-mukasu","ta-mukasu","ngu","ngu",
"B52_Nzebi","njeb1242","","",,0,,,,,,1,"tèyi; tat'","tèyi; tat'","tèyi; tat'","kètshi","kètshi",,"ngu","to-m'kas","to-m'kas","ngu","ngu",
"B53_Tsaangi_Poungi","tsaa1242","","",,0,,,,,,1,,,,"ngubala","ngubala",,"ngu",,,"ngu","ngu",
"B601_Lempini","mber1257","","",,0,,,,,,1,"tara","tara","tara","ngughu balagha","ngughu balagha",,"ngughu","tata okasi","tata okasi","ngughu","ngughu",
"B63_Ndumu","ndum1239","","",,0,,,,,,1,"tata","tata","tata",,,,"ngughu","ta-mukasi","ta-mukasi","ngughu","ngughu",
"B84_Mbunda","mpuo1241","xd46","Ac21","Ac21",1,1,3,1,1,5,1,"taar; ta'","târ","târ","ngwâs","ngwâs","úkↄ","maam; m'ma'","mwan a t'okar; târ ↄkånd","mwan a t'okar; târ ↄkånd","mâm","mâm","úkↄ"
"B85_Yanzi","yans1239","xd51","Ac26","Ac26",1,8,7,15,9,,1,"tåã","tɔ̀ɔ̀nyèèr","tɔ̀ɔ̀nyèèr","tɔ̀ɔ̀nyèèr; lém","tɔ̀ɔ̀nyèèr; lém","buko","måã","ta mukar; nkéé; etjul","ta mukar; nkéé; etjul",,,"buko"
"B85d_Nsongo","song1299","xd50","Ac25","Ac25",1,13,2,12,1,5,1,"târ","malim; târ; lí:m","malim; târ; lí:m","malim; ngwâs; lí:m","malim; ngwâs; lí:m","ↄkↄ","ngwe:n; mâm","târ mↄkånd","târ mↄkånd","mâm","mâm","ↄkↄ"
"B86_Dinga","ding1239","xd47","Ac22","Ac22",1,8,7,15,9,5,1,"taata; taa","taa koom","taa koom","maa mŋaŋ; mpja","maa mŋaŋ; mpja","taa buko; buko ibaal; buŋkil ibaal","maama; maa; ŋƔwa; ŋgwen","taata mukaatu; taa mukaar","taata mukaatu; taa mukaar","maa koom","maa koom","maa buko; buko mukaar; buŋkil mukaar"
"B86_Dzing","song1299","","",,1,,,,,,1,"târ","malim; târ; lí:m","malim; târ; lí:m","malim; ngwâs; lí:m","malim; ngwâs; lí:m","ↄkↄ","ngwe:n; mâm","târ mↄkånd","târ mↄkånd","mâm","mâm","ↄkↄ"
"B863_Pindi","song1299","","",,1,,,,,,1,"târ","malim; târ; lí:m","malim; târ; lí:m","malim; ngwâs; lí:m","malim; ngwâs; lí:m","ↄkↄ","ngwe:n; mâm","târ mↄkånd","târ mↄkånd","mâm","mâm","ↄkↄ"
"Bamun_Grassfields","bamu1253","xd172","Ae50","Ae50",1,,,,,,1,"wǎ",,,,,,"nǎ",,,,,
"C104_Aka","yaka1272","xd923, xd924","B60, B61","B60",0,,,,,,1,"táé","táé","kádí-wà-tàó-wà-pàé","kɔ̀kɔ̀","kɔ̀kɔ̀",,"ngúé",,"kádí-wà-tàó-wà-mòétò","ngúé","ngúé","mó.kìó"
"C105_Mbenga","yaka1272","","",,0,,,,,,1,"táé","táé","kádí-wà-tàó-wà-pàé","kɔ̀kɔ̀","kɔ̀kɔ̀",,"ngúé",,"kádí-wà-tàó-wà-mòétò","ngúé","ngúé","mó.kìó"
"C34_Sakata","saka1287","xd49","Ac24","Ac24",1,8,7,15,9,,1,"tå",,,"ƞgonfe","ƞgonfe",,,,,,,
